Lat,Long,Municipio,AreaKm2,Desmatado2005,Incremento20042005,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,92.5,0.4,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,326.3,1.3,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,228.4,3.3,"['Maraa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,78.9,1.0,"['Japura', 'Santo Antonio do Ica', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,602.1,7.2,"['Tapaua', 'Maraa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,295.9,4.3,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,150.8,0.9,"['Benjamin Constant', 'Santo Antonio do Ica', 'Sao Paulo de Olivenca']",False
-2.85099,-58.49614,Silves,3758,420.9,2.3,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,186.7,1.5,"['Urucara', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,172.0,0.9,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Ica', 'Amatura']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1169.7,4.5,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,128.9,0.4,"['Sao Paulo de Olivenca', 'Tabatinga', 'Amatura', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,205.1,1.3,"['Sao Gabriel da Cachoeira', 'Japura', 'Maraa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,548.3,2.5,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",True
-0.65847,-60.17004,Presidente Figueiredo,25568,657.9,13.6,"['Rio Preto da Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucara']",True
-7.76452,-68.19675,Pauini,42877,194.8,9.1,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,937.5,4.8,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,715.7,64.3,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,110.2,0.1,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
